12410
-0.49656 0.072183 -0.8594 0.098292 11.703 39.663 -0.017579
7.9869 38.836 -0.13316 0 3 6
7.8896 38.824 -0.10731 0 8 7
7.8588 38.88 -0.11839 4 4 4
7.7709 38.83 -0.11453 15 11 0
7.8287 38.905 -0.13099 0 6 0
7.8651 38.985 -0.1083 0 4 0
7.8175 38.934 -0.13316 0 6 0
7.8688 38.955 -0.10356 2 7 0
9.3904 39.379 -0.074537 61 35 12
9.4247 39.371 -0.050292 65 38 5
9.4143 39.363 -0.070279 61 37 3
9.4108 39.375 -0.030096 62 37 5
9.6083 39.377 -0.042962 62 34 0
9.5027 39.356 -0.064684 57 31 8
9.1396 39.405 -0.045066 58 34 8
9.259 39.39 -0.061744 56 31 8
9.2953 39.387 -0.08266 59 32 11
9.1988 39.404 -0.067537 56 32 6
9.2847 39.399 -0.039491 57 30 9
9.3518 39.387 -0.035556 54 31 0
9.1999 39.397 -0.088642 59 32 11
9.3761 39.384 -0.055231 59 33 6
9.0762 39.413 -0.073826 62 36 13
7.8032 39.41 -0.054737 22 15 0
8.034 39.406 -0.11668 18 7 1
7.8761 39.339 -0.073799 25 23 1
7.7205 39.314 -0.11205 30 23 5
7.9219 39.385 -0.045168 15 12 7
7.7455 39.395 -0.089299 20 7 0
7.8821 39.362 -0.11464 30 17 11
7.9365 39.354 -0.03978 22 20 0
7.8803 39.372 -0.07956 23 19 0
7.8893 39.482 -0.066413 22 8 0
7.9585 39.495 -0.032293 21 8 0
7.8893 39.525 -0.038885 21 8 0
7.8938 39.472 -0.099455 17 8 0
7.9896 39.444 -0.091765 27 18 0
7.9184 39.516 -0.070353 20 6 0
7.9254 39.507 -0.10582 22 8 0
7.514 39.426 -0.065171 14 0 0
7.8676 39.427 -0.12694 25 14 8
7.8323 39.591 -0.053057 23 5 1
7.9762 39.584 -0.083963 20 6 0
7.8987 39.539 -0.11376 22 0 0
7.9243 39.55 -0.079909 19 9 0
8.0804 39.628 -0.055839 22 8 0
7.9421 39.617 -0.091683 21 7 0
7.9445 39.56 -0.044796 25 6 0
7.9739 39.575 -0.1178 21 8 0
7.9902 39.703 -0.036408 22 10 0
7.9623 39.719 -0.11112 31 13 1
8.0432 39.694 -0.068825 26 12 3
7.9178 39.651 -0.09757 26 2 0
8.0198 39.684 -0.10324 22 8 0
7.9405 39.66 -0.064166 20 8 0
7.972 39.728 -0.077133 27 6 1
7.8644 39.67 -0.031431 23 11 0
7.8724 39.819 -0.022828 29 8 5
7.979 39.805 -0.055616 28 15 0
8.0225 39.761 -0.082588 24 9 6
7.9753 39.771 -0.049364 26 14 2
7.9246 39.738 -0.043237 27 11 0
7.9667 39.796 -0.089117 24 11 0
8.0296 39.828 -0.094917 31 9 0
8.0194 39.847 -0.028682 30 16 3
8.0032 39.864 -0.10336 28 12 0
7.9935 39.917 -0.041888 33 15 1
8.003 39.907 -0.07516 30 14 0
8.0051 39.838 -0.062397 30 12 0
7.9959 39.83 -0.096135 31 9 0
7.9778 39.874 -0.068807 33 13 4
8.1018 39.892 -0.10624 27 14 0
8.0364 39.88 -0.033784 26 13 0
8.0019 40.021 -0.061199 30 19 0
7.9994 39.987 -0.054635 32 14 2
7.9987 39.978 -0.087854 38 14 2
8.0214 40.011 -0.095039 32 16 0
8.0072 39.995 -0.020772 29 15 2
8.0714 39.955 -0.014343 28 10 6
8.0725 40.024 -0.027432 29 16 0
7.9058 39.959 -0.049007 36 17 1
7.8937 39.95 -0.08556 29 15 4
8.0465 40.131 -0.047317 36 21 2
8.043 40.061 -0.033305 37 13 0
8.1092 40.089 -0.03879 36 20 5
8.049 40.087 -0.073361 32 15 0
8.0337 40.124 -0.080714 33 17 0
8.0208 40.055 -0.069062 30 14 0
8.0988 40.038 -0.099827 30 17 0
8.1193 40.228 -0.065868 34 19 0
8.1172 40.166 -0.01945 34 21 2
8.0897 40.161 -0.052582 40 19 2
8.1199 40.184 -0.092865 36 19 1
8.0989 40.223 -0.09915 39 17 2
8.0346 40.213 -0.02556 36 19 1
8.0593 40.201 -0.059992 35 20 0
8.0765 40.155 -0.08643 36 21 0
8.0058 40.145 -0.012979 34 18 1
8.2115 40.318 -0.083344 38 22 0
8.0254 40.287 -0.039309 39 23 0
8.0752 40.287 -0.0029907 40 22 8
8.0619 40.317 -0.046721 39 23 0
8.0526 40.327 -0.011954 40 22 8
8.144 40.295 -0.079235 37 21 0
8.0424 40.276 -0.073889 38 17 0
8.0778 40.242 -0.032143 37 20 0
8.1558 40.416 -0.030115 52 35 18
8.1176 40.416 -0.065021 43 29 0
8.1818 40.375 -0.023988 39 21 7
8.2032 40.363 -0.058349 37 17 6
8.1731 40.42 0.0014194 55 40 19
7.9554 40.382 -0.016268 40 24 0
8.1685 40.362 -0.091827 30 17 0
8.2119 40.326 -0.051692 43 23 0
8.1525 40.453 -0.037968 57 42 19
8.1119 40.491 -0.079387 59 43 20
8.0177 40.566 -0.017121 59 41 19
8.1341 40.501 -0.0076101 58 41 24
8.242 40.441 -0.0031739 57 40 20
8.1417 40.448 -0.071532 60 42 18
8.1385 40.53 -0.054605 60 44 9
8.1448 40.521 -0.084949 62 44 22
8.4004 40.583 -0.008133 59 43 18
8.1411 40.566 -0.058041 58 42 17
8.1775 40.631 -0.070879 60 43 25
8.1531 40.6 -0.06375 61 42 25
8.1538 40.563 -0.058259 58 42 17
8.1906 40.709 -0.05146 62 47 18
8.1619 40.755 -0.057144 63 45 23
8.1403 40.679 -0.078318 61 46 23
8.1982 40.713 -0.01757 61 44 26
8.1593 40.687 -0.010812 60 44 19
8.1127 40.694 -0.046405 61 44 16
8.2226 40.787 0.0016453 63 45 23
8.1726 40.759 -0.024562 62 46 23
8.1994 40.82 -0.072109 65 49 26
8.1893 40.791 -0.031848 62 44 22
8.1813 40.763 0.0095667 62 47 26
8.1958 40.783 -0.065221 63 46 26
8.1942 40.834 -0.0044374 64 45 28
8.1932 40.86 -0.079928 65 47 23
8.1907 40.829 -0.040086 63 45 23
8.1833 40.914 -0.018738 64 47 17
8.1734 40.879 -0.011391 63 45 21
8.219 40.934 -0.058569 67 50 24
8.1814 40.909 -0.053308 64 47 27
8.1435 40.935 0.015514 67 50 32
